POINT;TYPE_CODE;PAS
25367727851450;CDC;PT30M
25436468831529;CDC;PT30M
25443994105260;CDC;PT10M
25458610669109;CDC;PT30M
25802315429401;CDC;PT10M
25854413892821;CDC;PT10M
25873516556624;CDC;PT30M
25823733623757;CDC;PT30M
25447756817478;CDC;PT30M
25240376259509;CDC;PT30M
25208248850046;CDC;PT30M
25181475995061;CDC;PT30M
25149927604322;CDC;PT30M
24589724950023;CDC;PT30M
24392329804285;CDC;PT30M
24295658442561;CDC;PT30M
24112011562752;CDC;PT30M
23247612031927;CDC;PT30M
23224457176689;CDC;PT30M
23198697536660;CDC;PT30M
22303617860990;CDC;PT30M
22296526683916;CDC;PT30M
22237481859031;CDC;PT30M
22234876940980;CDC;PT30M
22191316886117;CDC;PT30M
22110274803270;CDC;PT30M
21320405173899;CDC;PT30M
21216642388075;CDC;PT30M
21149348681236;CDC;PT30M
19618523860681;CDC;PT30M
19599421076404;CDC;PT30M
19444428347717;CDC;PT30M
19390448615179;CDC;PT30M
19195658388324;CDC;PT30M
19158610511959;CDC;PT30M
19150072204440;CDC;PT30M
19130390737671;CDC;PT30M
17654124422592;CDC;PT30M
17308972485569;CDC;PT30M
16594355943886;CDC;PT30M
16421418229202;CDC;PT30M
16179160589479;CDC;PT30M
16142546854075;CDC;PT30M
15498986952257;CDC;PT30M
15246888550021;CDC;PT30M
14890303870879;CDC;PT30M
14535889923055;CDC;PT30M
14531693191249;CDC;PT30M
14529667121252;CDC;PT30M
14400144559194;CDC;PT30M
14388711913076;CDC;PT30M
14353979711772;CDC;PT30M
14350506501683;CDC;PT30M
14240954924280;CDC;PT30M
09674529636225;CDC;PT30M
09195803111631;CDC;PT30M
07412156286889;CDC;PT30M
06546309659110;CDC;PT30M
05204630961532;CDC;PT30M
04393342911787;CDC;PT30M
02587698940420;CDC;PT30M
02137771229292;CDC;PT30M
01687409520703;CDC;PT30M
01640520949577;CDC;PT30M
01528075155136;CDC;PT30M
01455716299574;CDC;PT30M
01447322625884;CDC;PT30M
01384949313542;CDC;PT30M
25983212727121;CDC;PT30M
25332850866510;CDC;PT30M
25258321262203;CDC;PT30M
24503617905772;CDC;PT30M
24367438367132;CDC;PT30M
